Comment,Designator,Footprint,LCSC,Quantity
100R,"R10,R13,R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C2907294,3
100nF,"C1,C3,C5,C6,C7",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C126469,5
10K,"R12,R3,R5,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C2907423,4
1K,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C2907295,1
2.2uF,C4,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C19110,1
22K,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C2907309,1
2K2,"R1,R2",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C114237,2
4.7uF,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C98192,1
470R,R11,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C2907329,1
4K7,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C105427,1
AO3400A,"Q1,Q2",SOT-23,C347475,2
CH32V003AxMx,U1,STC_SOP-16_3.9x9.9mm_P1.27mm,C5346357,1
LED,D2,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C965815,1
SMAJ14A,D3,D_SMA,C908768,1
SW_Push,SW1,3_4_2 SMD Micro Touch Switch Button,C843659,1
TLV70433DBVR,U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C94917,1
TestPoint,TP1,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,,1
