Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,180.6,-71.65,0.0,bottom
C2,4.7uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,198.0725,-79.0625,90.0,bottom
C3,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,201.715,-79.0625,90.0,bottom
C4,2.2uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,205.3575,-79.0625,90.0,bottom
C5,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,160.75,-86.45,270.0,bottom
C6,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,164.35,-81.7,0.0,bottom
C7,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,207.3,-72.7,180.0,bottom
D2,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,192.5875,-73.4,0.0,bottom
D3,SMAJ14A,D_SMA,197.47,-83.775,180.0,bottom
J1,Conn_02x32_Counter_Clockwise,2x32 Edge Connector,166.201,-94.145,90.0,top
J11,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,206.5,-66.525,180.0,bottom
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,173.8,-65.78,180.0,bottom
J3,Conn_01x03,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,181.25,-66.6,180.0,bottom
J4,XT30,AMASS_XT30U-M_1x02_P5.0mm_Vertical,144.608333,-80.7,270.0,bottom
J5,XT30,AMASS_XT30U-M_1x02_P5.0mm_Vertical,153.5,-80.7,270.0,bottom
J6,XT30,AMASS_XT30U-M_1x02_P5.0mm_Vertical,135.716667,-80.7,270.0,bottom
J7,XT30,AMASS_XT30U-M_1x02_P5.0mm_Vertical,126.825,-80.7,270.0,bottom
J8,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,165.1,-66.6,180.0,bottom
J9,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,191.5,-66.6,180.0,bottom
JP1,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,189.65,-86.95,-90.0,top
JP2,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,186.8,-86.95,-90.0,top
Q1,AO3400A,SOT-23,198.6,-65.3,0.0,bottom
Q2,AO3400A,SOT-23,184.75,-87.4,180.0,bottom
R1,2K2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,186.95,-77.7,270.0,bottom
R10,100R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.25,-82.85,180.0,bottom
R11,470R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,187.35,-73.35,180.0,bottom
R12,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,185.35,-82.85,0.0,bottom
R13,100R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,192.55,-70.905,180.0,bottom
R2,2K2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,190.85,-77.7,270.0,bottom
R3,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,176.05,-86.45,270.0,bottom
R4,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,172.25,-86.45,90.0,bottom
R5,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,168.45,-86.4375,270.0,bottom
R6,22K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,194.45,-79.0925,90.0,bottom
R7,4K7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,164.65,-86.4375,90.0,bottom
R8,100R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,200.55,-70.6,90.0,bottom
R9,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,198.05,-70.65,270.0,bottom
SW1,SW_Push,3_4_2 SMD Micro Touch Switch Button,167.425,-75.425,180.0,bottom
TP1,TestPoint,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,171.1,-81.4,90.0,bottom
U1,CH32V003AxMx,STC_SOP-16_3.9x9.9mm_P1.27mm,178.95,-76.95,90.0,bottom
U2,TLV70433DBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,205.386,-83.9,270.0,bottom
